"","Country","Year","Nuts2","not_stated","sometimes","total","never","usually","somet_usual"
"120","FR",2022,"FR10",1608.71,5804.311,3081.333,NA,1094.377,6898.688
"121","FR",2022,"FRE1",265.906,1506.395,1098.396,NA,142.094,1648.489
"122","FR",2022,"FRC2",99.448,470.517,329.73,NA,41.339,511.856
"123","FR",2022,"FRK1",116.95,561.507,387.97,NA,56.587,618.094
"124","FR",2022,"FRK2",656.338,3043.347,1984.713,NA,396.167,3439.514
"125","FR",2022,"FRF2",71.821,517.401,399.617,NA,45.963,563.364
"126","FR",2022,"FRB0",224.222,1073.937,762.724,NA,86.991,1160.928
"127","FR",2022,"FRY2",NA,121.429,92.444,NA,NA,NA
"128","FR",2022,"FRF1",193.337,851.202,553.065,NA,104.8,956.002
"129","FR",2022,"FRI1",342.683,1512.12,994.852,NA,171.51,1683.63
"130","FR",2022,"FRI3",135.633,723.456,508.292,NA,79.531,802.987
"131","HR",2022,"HR05",67.332,361.844,252.945,NA,41.049,402.893
"132","HR",2022,"HR03",33.177,530.564,479.598,NA,17.707,548.271
"133","HR",2022,"HR06",11.828,342.585,318.361,NA,12.396,354.981
"134","HR",2022,"HR02",15.613,371.788,346.107,NA,9.767,381.555
"135","IT",2022,"ITC2",NA,55.164,51.413,NA,NA,NA
"136","IT",2022,"ITI3",29.403,639.262,589.936,NA,19.423,658.685
"137","IT",2022,"ITC3",55.088,616.115,530.775,NA,29.175,645.29
"138","IT",2022,"ITF4",50.192,1266.627,1182.308,NA,32.976,1299.603
"139","IT",2022,"ITF6",21.281,528.973,479.05,7.794,20.849,549.822
"140","IT",2022,"ITI2",18.439,352.298,321.01,NA,12.574,364.872
"141","IT",2022,"ITC4",353.015,4424.396,3744.816,5.587,320.978,4745.374
"142","IT",2022,"ITF3",84.184,1641.3,1480.639,20.736,55.74,1697.04
"143","IT",2022,"ITG1",61.389,1337.016,1234.218,4.994,36.415,1373.431
"144","IT",2022,"ITH3",143.107,2145.361,1912.261,NA,88.655,2234.016
"145","IT",2022,"ITI4",265.366,2320.883,1828.426,NA,225.102,2545.985
"146","IT",2022,"ITH4",35.181,520.517,464.748,NA,19.973,540.49
"147","IT",2022,"ITH2",20.568,243.209,212.535,NA,8.983,252.192
"148","IT",2022,"ITH5",166.04,2001.272,1739.704,NA,94.181,2095.453
"149","IT",2022,"ITG2",35.383,566.151,509.294,NA,21.298,587.449
"150","IT",2022,"ITI1",95.401,1617.712,1453.043,NA,68.707,1686.419
"151","IT",2022,"ITF2",4.321,103.093,95.45,NA,NA,NA
"152","IT",2022,"ITF1",21.313,482.849,446.853,NA,14.337,497.186
"153","IT",2022,"ITC1",130.737,1785.319,1552.184,NA,101.701,1887.02
"154","IT",2022,"ITH1",19.603,263.111,228.703,NA,13.039,276.15
"155","IT",2022,"ITF5",8.388,188.762,173.557,NA,6.681,195.443
"156","CY",2022,"CY00",30.994,466.879,414.775,NA,21.109,487.988
"157","LV",2022,"LV00",23.59,891.194,785.576,NA,78.419,969.613
"158","LT",2022,"LT02",30.329,959.1,858.97,32.274,37.526,996.626
"159","LT",2022,"LT01",41.601,461.714,355.034,17.977,47.103,508.817
"160","LU",2022,"LU00",69.042,311.838,184.832,2.51,55.454,367.292
"161","HU",2022,"HU22",25.588,488.208,454.891,NA,7.729,495.937
"162","HU",2022,"HU32",22.095,651.304,620.074,NA,9.135,660.439
"163","HU",2022,"HU23",18.152,386.371,359.783,NA,8.437,394.808
"164","HU",2022,"HU31",31.485,490.914,446.895,NA,12.534,503.448
"165","HU",2022,"HU33",22.786,570.15,535.528,NA,11.836,581.986
"166","HU",2022,"HU11",183.429,896.349,643.191,NA,69.729,966.078
"167","HU",2022,"HU12",44.348,666.838,610.819,NA,11.67,678.508
"168","HU",2022,"HU21",22.923,532.516,502.803,NA,6.79,539.306
"169","MT",2022,"MT00",44.77,284.002,203.969,NA,35.263,319.265
"170","NL",2022,"NL23",76.144,245.883,123.131,NA,46.608,292.491
"171","NL",2022,"NL11",110.582,310.28,152.67,NA,47.028,357.308
"172","NL",2022,"NL22",416.726,1152.28,565.883,NA,169.67,1321.95
