"","YEAR","COREG_2DW","Never_all","Never_incountry","Total_all","Never_cross"
"173",2010,"ITF4",1158.297,1158.297,1201.565,0
"174",2010,"ITF5",175.941,175.941,183.016,0
"175",2010,"ITF6",535.322,535.322,553.673,0
"176",2010,"ITG1",1369.695,1369.695,1412.609,0
"177",2010,"ITG2",552.053,552.053,581.243,0
"178",2010,"ITH1",226.413,226.413,241.316,0
"179",2010,"ITH2",217.582,217.582,228.583,0
"180",2010,"ITH3",1967.078,1967.078,2056.841,0
"181",2010,"ITH4",489.547,489.547,513.497,0
"182",2010,"ITH5",1837.041,1837.041,1928.939,0
"183",2010,"ITI1",1463.634,1463.634,1536.188,0
"184",2010,"ITI2",326.306,326.306,341.757,0
"185",2010,"ITI3",620.858,620.858,642.248,0
"186",2010,"ITI4",2116.759,2116.759,2228.801,0
"187",2010,"LT00",1175.787,1175.787,1244.056,0
"188",2010,"LU00",259.047,167.674,311.794,91.373
"189",2010,"LV00",805.5,805.5,840.029,0
"190",2010,"MT00",155.685,155.685,161.503,0
"191",2010,"NL11",255.689,255.689,284.874,0
"192",2010,"NL12",267.717,267.717,296.901,0
"193",2010,"NL13",201.558,201.558,223.083,0
"194",2010,"NL21",495.081,495.081,548.975,0
"195",2010,"NL22",851.737,851.737,966.904,0
"196",2010,"NL23",134.446,134.446,158.039,0
"197",2010,"NL31",578.138,578.138,664.41,0
"198",2010,"NL32",1261.337,1261.337,1440.245,0
"199",2010,"NL33",1504.884,1504.884,1679.361,0
"200",2010,"NL34",145.192,145.192,163.63,0
"201",2010,"NL41",1098.494,1098.494,1235.562,0
"202",2010,"NL42",444.988,444.988,497.299,0
"203",2010,"NO00",31.568,11.601,33.258,19.967
"204",2010,"NO01",560.535,560.535,648.945,0
"205",2010,"NO02",138.484,138.484,159.63,0
"206",2010,"NO03",368.924,368.924,422.939,0
"207",2010,"NO04",331.548,331.548,361.772,0
"208",2010,"NO05",375.625,375.625,414.662,0
"209",2010,"NO06",182.612,182.612,205.167,0
"210",2010,"NO07",187.268,187.268,212.996,0
"211",2010,"PL11",1000.304,1000.304,1185.422,0
"212",2010,"PL12",1985.945,1985.945,2412.167,0
"213",2010,"PL21",1100.205,1100.205,1231.95,0
"214",2010,"PL22",1550.307,1550.307,1806.388,0
"215",2010,"PL31",852.894,852.894,964.135,0
"216",2010,"PL32",695.271,695.271,828.683,0
"217",2010,"PL33",556.785,556.785,591.354,0
"218",2010,"PL34",420.364,420.364,469.051,0
"219",2010,"PL41",1181.92,1181.92,1335.898,0
"220",2010,"PL42",483.76,483.76,553.247,0
"221",2010,"PL43",360.878,360.878,414.189,0
"222",2010,"PL51",998.228,998.228,1135.585,0
"223",2010,"PL52",326.111,326.111,341.721,0
"224",2010,"PL61",691.003,691.003,768.898,0
"225",2010,"PL62",501.203,501.203,538.884,0
"226",2010,"PL63",674.954,674.954,796.993,0
"227",2010,"PT00",47.282,47.282,47.282,0
"228",2010,"PT11",1549.366,1549.366,1626.346,0
"229",2010,"PT15",184.46,184.46,197.319,0
"230",2010,"PT16",1145.593,1145.593,1176.992,0
"231",2010,"PT17",1147.719,1147.719,1242.397,0
"232",2010,"PT18",306.799,306.799,314.676,0
"233",2010,"PT20",108.502,108.502,108.502,0
"234",2010,"PT30",123.276,123.276,123.276,0
"235",2010,"RO11",1114.351,1114.351,1114.351,0
"236",2010,"RO12",889.003,889.003,889.003,0
"237",2010,"RO21",1473.685,1473.685,1473.685,0
"238",2010,"RO22",1020.281,1020.281,1020.281,0
"239",2010,"RO31",1282.096,1282.096,1282.096,0
"240",2010,"RO32",1142.574,1142.574,1142.574,0
"241",2010,"RO41",931.069,931.069,931.069,0
"242",2010,"RO42",765.096,765.096,765.096,0
"243",2010,"SE00",2.262,2.262,2.262,0
"244",2010,"SE11",784.355,784.355,1117.088,0
"245",2010,"SE12",533.771,533.771,681.223,0
"246",2010,"SE21",311.112,311.112,384.262,0
"247",2010,"SE22",479.227,479.227,628.376,0
"248",2010,"SE23",683.355,683.355,892.934,0
"249",2010,"SE31",302.945,302.945,371.127,0
"250",2010,"SE32",126.124,126.124,163.969,0
"251",2010,"SE33",179.573,179.573,226.91,0
"252",2010,"SI03",422.205,422.205,478.463,0
"253",2010,"SI04",390.342,390.342,478.154,0
"254",2010,"SK01",332.506,331.727,388.069,0.778999999999996
"255",2010,"SK02",687.559,686.995,742.951,0.563999999999965
"256",2010,"SK03",463.183,463.183,501.56,0
"257",2010,"SK04",524.28,524.28,540.009,0
"258",2010,"TR00",3.554,3.554,3.554,0
"259",2010,"TR10",3988.295,3988.295,4019.544,0
"260",2010,"TR21",554.519,554.519,584.009,0
"261",2010,"TR22",551.648,551.648,569.717,0
"262",2010,"TR31",1276.229,1276.229,1301.139,0
"263",2010,"TR32",986.392,986.392,1016.797,0
"264",2010,"TR33",938.557,938.557,965.487,0
"265",2010,"TR41",1125.168,1125.168,1143.712,0
"266",2010,"TR42",1014.692,1014.692,1031.227,0
"267",2010,"TR51",1424.527,1424.527,1449.964,0
"268",2010,"TR52",713.474,713.474,748.052,0
"269",2010,"TR61",951.39,951.39,1004.804,0
"270",2010,"TR62",1124.179,1124.179,1184.101,0
"271",2010,"TR63",758.734,758.734,815.192,0
"272",2010,"TR71",439.136,439.136,443.645,0
"273",2010,"TR72",587.91,587.91,634.22,0
"274",2010,"TR81",354.816,354.816,373.341,0
"275",2010,"TR82",256.643,256.643,285.624,0
"276",2010,"TR83",731.512,731.512,936.01,0
"277",2010,"TR90",1028.167,1028.167,1035.555,0
"278",2010,"TRA1",347.946,347.946,355.096,0
"279",2010,"TRA2",295.548,295.548,298.371,0
"280",2010,"TRB1",481.577,481.577,485.817,0
"281",2010,"TRB2",373.209,373.209,406.872,0
"282",2010,"TRC1",523.759,523.759,610.588,0
"283",2010,"TRC2",530.56,530.56,533.218,0
"284",2010,"TRC3",331.965,331.965,356.65,0
"285",2010,"UK00",78.1,39.665,78.1,38.435
"286",2010,"UKC1",386.794,386.794,464.954,0
"287",2010,"UKC2",518.05,518.05,640.811,0
"288",2010,"UKD1",189.81,189.81,241.581,0
"289",2010,"UKD3",961.702,961.702,1234.443,0
"290",2010,"UKD4",539.089,539.089,670.225,0
"291",2010,"UKD6",330.596,330.596,454.187,0
"292",2010,"UKD7",490.96,490.96,595.582,0
"293",2010,"UKE1",327.31,327.31,390.427,0
"294",2010,"UKE2",286.043,286.043,366.181,0
"295",2010,"UKE3",442.816,442.816,561.426,0
"296",2010,"UKE4",798.528,798.528,1004.93,0
"297",2010,"UKF1",685.419,685.419,904.959,0
"298",2010,"UKF2",591.742,591.742,753.469,0
"299",2010,"UKF3",244.943,244.943,306.82,0
"300",2010,"UKG1",421.255,421.255,521.598,0
"301",2010,"UKG2",531.884,531.884,679.272,0
"302",2010,"UKG3",1010.763,1010.763,1200.423,0
